,Resource,Section,Number,Color,Tag1,Tag2,Topic,Question
22,Blue,-,23,Pink,Vacation Spending,Budget Preferences,Financial Management and Economics,Some people are willing to spend a lot of money on a vacation so they can do something special. Others prefer to spend very little money on their vacations. Which do you think is better? Why?
23,Blue,-,24,Pink,Higher Education,Curriculum Development,Education,Some university students participate in clubs or activities in addition to doing schoolwork. Other students spend most of their time doing schoolwork and do not participate in extra activities. Which do you think is better and why?
24,Blue,-,25,Pink,Teaching Ethics,Admitting Mistakes,Education,Do you agree or disagree with the following statement? Good teachers admit when they have made a mistake or do not know something. Use a specific example to support your point of view.
25,Blue,-,26,Pink,Workplace Culture,Non-work Activities,"Work, Career, and Professional Development","Companies have started giving their employees extra free time during the workday to socialize or engage in non-work activities. The theory is that this will increase productivity over time. Do you agree with this theory? Explain why or why not, using details and examples. "
26,Blue,-,27,Pink,Higher Education,Curriculum Development,Education,"Your university is organizing a series of guest lectures. Some people think that speakers with controversial opinions should not be invited to speak at the university. Others believe that the university should feature variety of speakers, regardless of their opinions. Which point of view do you agree with? Explain why, using details and examples in your response. "
27,Blue,-,28,Pink,Business Strategies,Social Media,"Work, Career, and Professional Development","Do you agree or disagree with the following statement? Nowadays, for a business to be successful, it must be actively involved in social media. Use details and examples to explain your opinion. "
28,Blue,-,29,Pink,Corporate Responsibility,Social Programs,"Work, Career, and Professional Development",Some people believe that businesses should be required to spend a certain amount of their profits on social programs that benefit the public and the communities where they operate. Others believe that businesses should be able to decide for themselves how spend their profits. Which idea do you agree with? Use details and examples to explain your opinion.
29,Blue,-,30,Pink,Urban vs Rural Living,Housing Choices,Social Issues,Do you agree or disagree with the following statement? It is better for students to live with a roommate who is studying the same subject. Use details and examples to explain your opinion.
30,Blue,-,31,Pink,Reading Habits,Book Choices,"Recreation, Leisure, and Creative Pursuits","Some people like to read certain books more than once. Others prefer to always read something they have never read before. Which do you usually prefer? Explain why, using details and examples. "
31,Blue,-,32,Pink,Professional Wear,Fashion Importance,Lifestyle,Do you agree or disagree with the following statement? People should only engage in activities or hobbies at which they are good or talented. Use details and examples to explain your answer.
32,Blue,-,33,Pink,Academic Feedback,Professor Evaluation,Education,Do you agree or disagree with the following statement? It is important to help people who have moved into your neighborhood to feel welcome and part of the community. Use details and examples to explain your answer.
33,Blue,-,34,Pink,Honesty in Friendships,,Lifestyle,"When watching movies and television shows with friends and family, some people prefer that everyone remain quiet until the end. Other people enjoy  talking and sharing opinions during the movies and shows. Which do you prefer? Explain why. "
34,Blue,-,35,Pink,Competitive Activities,Parental Guidance,"Recreation, Leisure, and Creative Pursuits","Some people prefer to spend their extra money on objects, such as clothes or electronics. Other people prefer to spend it on experiences, like vacations or concerts. Which do you prefer and why? "
35,Blue,-,36,Pink,Talent Management,Child Development,Social Issues,Some people believe that a country's government should give money to support art institutions like museums or theaters. Others feel that it should not be the role of governments to do this. Which opinion do you agree with? Explain why
36,Blue,-,37,Pink,Personal Space,Room Decoration,Lifestyle,Some people believe that doing homework is not helpful for younger children and that it should be given only to older students. Others believe that homework should be assigned to children of all ages. Which point of view do you agree with? Use details and examples to explain your opinion.
37,Blue,-,38,Pink,Entertainment Preferences,Performance Participation,"Recreation, Leisure, and Creative Pursuits","Some people think that, when moving to a new country, they should adapt to the cultural habits and traditions of the new country. Other people prefer to keep their original habits and traditions. Which point of view do you agree with? Explain why, using details and examples in your response. "
38,Blue,-,39,Pink,Exhibition Themes,Children's Interests,"Recreation, Leisure, and Creative Pursuits",Some people prefer to work in a company where they have the independence to complete tasks and work out solutions to problems on their own. Others prefer to work in an environment where they are told exactly what they need to do. Which work situation would you prefer and why?
39,Blue,-,40,Pink,Higher Education,Curriculum Development,"Recreation, Leisure, and Creative Pursuits",Some universities expect students to choose a major field of study when they enter university. Other universities allow students to wait until the second or third year before deciding on a major field of study. Which do you think is better? Why?
40,Blue,-,41,Pink,Social Planning,Event Preparation,Lifestyle,Some people believe that every college student should be required to take math classes. Others believe that only those who need it in their future careers should be required to study math. Which point of view do you agree with? Use details and examples to support your answer.
41,Blue,-,42,Pink,Higher Education,Curriculum Development,Lifestyle,"Your university is planning to require all first-year students to take a class in which they would learn how to use the resources available at the university library and apply those skills in writing a long research paper. Do you think this is a good idea? Explain why or why not, using specific examples and details "
42,Blue,-,43,Pink,Academic Integrity,University Policies,Education,Some people like to organize and plan parties or other social events. Others prefer not to organize parties and would rather simply attend events that they have been invited to. Which do you prefer? Use details and examples to explain your opinion.
43,Blue,-,44,Blue,Higher Education,Curriculum Development,"Recreation, Leisure, and Creative Pursuits",Some university classes only meet one day a week for a long period of time. Other university classes meet several days a week for shorter periods of time. Which do you think is better? Explain why.
44,Blue,-,45,Blue,Teaching Difficulty,Educational Levels,Education,"Some people feel an emotional attachment to old items from the past, such as childhood toys and school projects, and prefer to keep them as long as possible. Others don't feel such an attachment and so don't keep them. Which do you prefer? Explain why? "
45,Blue,-,46,Blue,Success Ethics,Making Enemies,Lifestyle,Do you agree or disagree with the following statement? Playing sports as children encourage people to become overly aggressive later in life.
46,Blue,-,47,Blue,Volunteer Work,Post-graduation Choices,Social Issues,Some people prefer to travel when they have time off from school or work. Others prefer to spend their time off at home. Which do you prefer?
47,Blue,-,48,Blue,Knowledge Acquisition,Media Choices,Education,"Imagine that you have applied for a job. The company has invited you to come to their office for an interview. However, the office is located a couple of hours away in another town. Because of the distance, the company has also offered to interview you by phone instead. Which would you choose and why? "
48,Blue,-,49,Blue,Community Service,Volunteer Activities,Social Issues,Do you agree or disagree with the following statement? All children should be required to attend school until age 16.
49,Blue,-,50,Blue,Business Meetings,In-person vs. Virtual,"Work, Career, and Professional Development","Some elementary schools are establishing policies that prohibit teachers from giving homework to children, so all assignments are completed during the school day rather than at home after school. Do you agree with such policies? Explain why or why not. "
50,Blue,-,51,Blue,Performance Under Pressure,Stress Management,Health and Well-being,"Your professor has offered you the opportunity to help him with some important research this weekend. However, you have made plans to travel to your hometown this weekend to attend your sister’s birthday party. What will you do? Explain the reasons for your choice. "
51,Blue,-,52,Blue,Government Investment,Priority Areas,Financial Management and Economics,"Some people prefer to watch entertainment programs on television, while others prefer to watch educational programs. Which do you prefer and why? "
52,Blue,-,53,Blue,School Calendar,Year-round Education,Education,Do you agree or disagree with the following statement? Schools should not allow young children to use calculators during math classes and exams.
53,Blue,-,54,Blue,Technology Learning,Instruction Methods,Technology and Innovation,Do you agree or disagree with the following statement? Preserving the environment is the responsibility of the government of each country.
54,Blue,-,55,Blue,Budget Cuts,Club Funding,Financial Management and Economics,"Do you agree or disagree with the following statement? Before taking a job in a particular field, students should get some experience in that field through a part-time job or summer employment."
55,Blue,-,56,Blue,Educational Policies,Homeschooling,Education,"When taking notes during a lecture or meeting, some people prefer to write them by hand on paper. Other people prefer to take notes by typing them on a laptop or other devices. Which one do you prefer? Explain why, using details and examples. "
56,Blue,-,57,Blue,Classroom Recording,Academic Policies,Education,Some people prefer to be constantly busy and always have something to do. Others prefer not to be busy all the time but to spend some periods of time doing nothing. Which approach do you think is better? Explain why.
57,Blue,-,58,Blue,Art Purposes,Life Guidance,Lifestyle,Imagine you have been offered two jobs. One job pays a very high salary but requires you to work very long hours and on weekends. The other job pays a lower salary but does not require you to work outside of regular business hours. Which job would you choose? Explain why.
58,Blue,-,59,Blue,Success Factors,Luck vs. Hard Work,Education,"When students are reading, some choose the books from the reading list their schools give. Other choose books by themselves. Which do you prefer? Use reasons and examples to explain your opinion. "
59,Blue,-,60,Blue,Academic Interaction,Lecture Styles,Education,Imagine that there is a proposal to lower the age at which a person can get a license to drive a car in your country. Would you agree or disagree with this proposal? Explain why.
60,Blue,-,61,Blue,Health Promotion,Government Spending,Health and Well-being,Some teachers have an informal style and treat their students almost like friends. Other teachers have a more formal style and keep a professional distance from students. Which teaching style do you think is better for learning? Explain why.
61,Blue,-,62,Blue,Celebrity Privacy,Public Interest,"Media, Communication, and Information",Do you agree or disagree with the following statement? People should always wear fashionable clothes. Please use specific reasons and examples to support your answer.
62,Blue,-,63,Blue,Urban Planning,Green Spaces,Urban Development and Living,Many students are asked to evaluate their professors at the end of the semester. Do you think it is a good idea? Why?
63,Blue,-,64,Blue,Charitable Donations,Preferred Causes,Social Issues,Do you agree or disagree with the following statement? We should be completely honest with friends.
64,Blue,-,65,Blue,Vacation Styles,Spending Choices,Financial Management and Economics,Do you agree or disagree with the following statement? Parents should discourage children from joining some competitive activities like sports.
65,Blue,-,66,Blue,Workplace Supervision,Management Styles,"Work, Career, and Professional Development",Which one do you agree? Children born with talent should be treated in a different way or they should be treated in the same way as average children.
66,Blue,-,67,Blue,Project Management,Time Management,"Work, Career, and Professional Development",Some students enjoy decorating their surroundings; others choose to keep their surroundings simple and free of any decorations. Which do you prefer and why?
67,Blue,-,68,Blue,Parenting Styles,Learning from Mistakes,Social Issues,Some people like participating in performances like theatrical or musical shows. Others prefer to be in audience watching those plays. Which do you prefer?
68,Blue,-,69,Black,Children's Media Exposure,News Consumption,Social Issues,"If a children’s museum is going to have an exhibition, which of the following subjects will be the most attractive to children?  Robot technology  Deep sea marine life  Solar system "
69,Blue,-,70,Black,Mathematics Education,Learning Environments,Education,Children may be unwilling to learn musical instrument since they need to keep practicing. What should parents do?  Force children to learn musical instrument.  Let children choose whether to learn musical instrument.
70,Blue,-,71,Blue,Parental Involvement,Student Privacy,Social Issues,Do you like to make a plan with friends about social activities in advance or plan it when you attend it?
71,Blue,-,72,Blue,Travel Documentation,Memory Keeping,Lifestyle,Do you agree or disagree with the following statement? Happiness comes from helping others rather than helping yourself. Use reasons and examples to explain your opinion.
72,Blue,-,73,Blue,Higher Education,Curriculum Development,Social Issues,Do you think it's a good idea for university to ask a student to leave school if he was caught cheating in exams?
73,Blue,-,74,Blue,Pedestrian Safety,Mobile Phone Use,Health and Well-being,"When a friend is coming to visit your place, do you prefer a surprise visit or an informed one? "
74,Blue,-,75,Blue,Higher Education,Curriculum Development,Education,Do you agree or disagree with the following statement? It is easier to teach students in primary school than it is to teach students in university.
75,Blue,-,76,Blue,Academic Feedback,Communication Preferences,Education,"Do you agree or disagree with the following statement? In order to be successful, one has to make enemies. "
76,Blue,-,77,Blue,Higher Education,Curriculum Development,Health and Well-being,Some recent university graduates choose to spend a period of time doing volunteer work of community service before they start their careers. Others think it is better to start working as soon as possible after graduation. Which view do you agree with? Use details and examples to explain your answer.
77,Blue,-,78,Black,Academic Independence,Teacher Supervision,Education,There are several ways you can get to know a country without travelling abroad. Which of the following ways would you like to choose?  Reading books  Watching videos  Joining online communication groups Choose one and explain why
78,Blue,-,79,Black,Communication Preferences,Messages vs. Calls,"Media, Communication, and Information","You are required to be a volunteer in a school beatification day, which of the following would you like to choose.  planting in campus flowers garden  picking up garbage and collecting the recyclable material  painting natural and outside arts .Give specific reasons to support your answer. "
79,Blue,-,80,Blue,Cosmetic Surgery,Appearance Changes,Health and Well-being,Do you agree or disagree that important business meetings should be held in person rather than use technology such as video conference call. Give specific reasons to support your answer.
80,Blue,-,81,Blue,Community Interviews,Local Influencers,Social Issues,"Do you agree or disagree with the following statement? People perform better when they are under some stress or pressure. The theory is that when people  are under stress, they tend to have a clearer motivation about their goals. Use details and examples to explain your answer. "
81,Blue,-,82,Black,Career Choices,Job Interests,"Work, Career, and Professional Development","If the government has a large sum of money, which area would suggest the government invest to?  Space exploration  Education  Health care. "
82,Blue,-,83,Blue,Research Funding,University Priorities,Education,The school decided to cancel the long summer vacation. So students have to attend school all year with some short breaks during holidays. Do you agree or disagree? Please explain the reasons.
83,Blue,-,84,Blue,Land Use,Campus Development,Urban Development and Living,"When people acquire a new electronic device, such as a camera or a computer, they may be unsure of how it works. Some people prefer to read the directions to understand how it works. Other people prefer to experiment with the device, to try to figure it out on their own. Which do you prefer and why? "
84,Blue,-,85,Black,Social Events,Cultural Activities,Social Issues,The school needs to cut club subsidies. Which of the following clubs do you think should be cut in subsidies?  sports club  academic club  skiing club
85,Blue,-,86,Blue,Physical Education,Sports Choices,Health and Well-being,Some countries have approved “homeschool” as part of education. Do you agree or disagree with this policy?
86,Blue,-,87,Blue,News Interests,Current Events,"Media, Communication, and Information",Professors shouldn’t allow students to record class lectures. Do you agree or disagree with this policy?
87,Blue,-,88,Blue,Entertainment Choices,Student Television,"Recreation, Leisure, and Creative Pursuits",Do you agree or disagree with the following statement? The purpose of art is to guide our life.
88,Blue,-,89,Blue,Academic Specialization,Course Selection,Education,Do you agree or disagree with the following statement? Good luck is as important as hard work for a person’s success.
89,Blue,-,90,Blue,Student Entertainment,Campus Activities,Education,"Some professors prefer to answer students’ questions at the end of the lecture, and others stop at different points to answer students’ questions. Which style do you think is better for learning? "
90,Blue,-,91,Blue,Risk Taking,Age Differences,Lifestyle,Do you agree or disagree with the following statement? The government should spend money on projects that can encourage citizens to lead a healthier lifestyle. Please give your opinion and explanation.
91,Blue,-,92,Blue,Exam Preparation,Study Habits,Education,"Some people believe that we should not discuss the private activities of the popular people, like movie stars and singers. Do you agree? Why? "
92,Blue,-,93,Blue,Urban vs Rural Living,Housing Choices,Education,You live in a crowded city with only one green space-the city park. The government recently proposes to build a housing complex on this only green space. Do you think this is a good idea?
93,Blue,-,94,Black,Housing Choices,Cost vs. Proximity,Financial Management and Economics,Which one of the following fields would you like to donate your money to?  community charity  environment protection  animal rescue Explain your reasons with examples and details.
94,Blue,-,95,Blue,University Selection,Cost vs. Reputation,Education,Some people prefer to spend lots of money on vacation. Some people would spend little money on vacation. Which do you prefer and why?
95,Blue,-,96,Blue,Learning Methods,Exams vs. Projects,Education,"In a workplace, should the employer constantly supervise the employees or is it better that the employer only checks the employees occasionally? Please include specific reasons and details in your response. "
96,Blue,-,97,Blue,Presentation Styles,Academic Assignments,Education,Which would you prefer: start a project as early as possible or wait until the deadline?
97,Blue,-,98,Blue,Success Factors,Educational Opportunities,Education,Some parents think they should protect children from making mistakes. Some think they should let them make mistakes. What do you think?
98,Blue,-,99,Blue,Workplace Environment,Company Size,"Work, Career, and Professional Development",Do you agree or disagree? Children should listen or read news at an early age.
99,Blue,-,100,Blue,Celebrity Influence,Role Models,Social Issues,Some people think they should learn math at school while others think they should learn math at work. Which do you prefer?
100,Blue,-,101,Blue,Teacher Experience,Educational Success,Education,There is a policy that parents should not be allowed to see children's grades without their permission. Do you agree or disagree?
101,Blue,-,102,Blue,Campus Improvements,Student Facilities,Urban Development and Living,"Some people like to write diaries or take photos to record what they've experienced when they're traveling, others don't do so. What's your opinion on it? Please explain with details. "
102,Blue,-,103,Blue,Summer Jobs,Vacation Employment,"Recreation, Leisure, and Creative Pursuits",Do you agree or disagree with the following statement? Kids should be allowed to keep pets.
103,Blue,-,104,Blue,Learning Technology,Educational Tools,Technology and Innovation,Do you agree or disagree that government should pass a law to fine people who use mobile phones when crossing the street?
104,Blue,-,105,Blue,Roommate Preferences,Living Conditions,Social Issues,Which one do you prefer: taking classes in the morning or in the afternoon?
105,Blue,-,106,Blue,Physical Activity,Daily Exercise,Health and Well-being,"When giving feedbacks to students, some teachers would like to talk to their students in person, while some teachers would give written comments to students. Which do you prefer and why? "
106,Blue,-,107,Blue,Higher Education,Curriculum Development,Education,"The university is going to increase the price junk food, to make more money, and use the money to add more kinds of healthy food. Do you agree or disagree? "
107,Blue,-,108,Blue,Environmental Protection,Impact Choices,Environmental Sustainability and Conservation,"Some students like teachers who often supervise their study and work, while others like teachers who allow them to study independently and check their work occasionally. Which one do you prefer? Explain your reasons. "
108,Blue,-,109,Blue,Creative Learning,Student Encouragement,Education,"Some people prefer sending messages while others prefer making phone calls directly, which one do you prefer? "
109,Blue,-,110,Blue,Relationship Priorities,Family vs. Friends,Social Issues,"Some people want to change their appearance, even by surgery. Do you agree or disagree? Give your reasons. "
110,Blue,-,111,Black,Knowledge Acquisition,Observation Methods,Education,"If you are going to have an interview with a famous people in your community, which of the following people will you choose?• businessman • professor • artist Give detailed information to support your answer and explain why. "
111,Blue,-,112,Black,Medical Expertise,Age vs. Experience,Health and Well-being,"Among the following jobs, which one do you think is the most interesting one and why? • airplane pilot • actor • detective  "
112,Blue,-,113,Black,Business Skills,Social Traits,"Work, Career, and Professional Development","If universities are given financial support to develop researches, which one do you think would receive more benefits? • To predict weather more accurately • To clean rivers and ocean •  To deal with outer space  "
113,Blue,-,114,Black,Higher Education,Curriculum Development,Education,Your university has acquired a piece of land next to the campus. There have been three options for the use of the land. Which do you prefer? Why? • athletic facilities and stadiums  • a park with nature trails  • centers for students and hotel for campus guests
114,Blue,-,115,Black,Higher Education,Curriculum Development,"Work, Career, and Professional Development",The university international office is going to hold a social event. Which one of the following choices do you think is the best? • international food fair •  international music festival •  international film festival
115,Blue,-,116,Black,Higher Education,Curriculum Development,"Media, Communication, and Information",The university currently requires all the students to take the physical education course to graduate. Which of the following options will you choose?  soccer  dancing
116,Blue,-,117,Black,Teaching Preferences,Grading Policies,Education,Which of the following areas of current events do you most like to read?  Politics  Sports  Arts and films
117,Blue,-,118,Black,Life Stages,Adult vs. Child Challenges,Social Issues,There is going to be a students’ TV show. Which show would you like to watch. Please give your reasons. •  An interview with school leaders •  Students’ debate on political and social topics   Comedy about school life
118,Blue,-,119,Black,Student Activities,University Sponsorship,Education,"Your degree requires you to take one course, which one would you choose? • Energy and environment • Health and nutrition •  Solar system "
119,Blue,-,120,Black,Higher Education,Curriculum Development,Social Issues,The university wants to provide students more entertainments. Three choices are provided below; which do you prefer and why? • theater performance by student actors •  concert provided by professional musicians •  lecture by a professor
120,Blue,-,121,Blue,Student Assistance,Academic Help,Education,Some people believe old people should not take risks and participate in adventurous events as the young people. Do you agree? Why?
121,Blue,-,122,Blue,Schedule Preferences,Time Management,Lifestyle,You have been very busy and unable to prepare for the exam tomorrow. You can either stay up late to study and sleep less or just study less and get full night’s sleep. Which will you prefer?
122,Blue,-,123,Blue,Local History,Community Education,Social Issues,"Some students think that they should be graded based on participating in the class discussions, while others think that they should be graded based on written work, such as paper. Which opinion would you prefer? Why? "
123,Blue,-,124,Blue,Urban vs Rural Living,Housing Choices,Environmental Sustainability and Conservation,"If you are to choose between two apartments to live in next semester; one apartment is near the campus but is slightly expensive, the other is a little far from the campus but is cheaper. Which one do you prefer and why? "
124,Blue,-,125,Blue,Higher Education,Curriculum Development,Social Issues,"Imagine that you have been accepted by two different universities: one university is well-known for its excellent academic program, but it’s expensive, while the other one is less well-known, but has offered you scholarship to pay for your tuition fee. Which university would you prefer? Explain why. "
125,Blue,-,126,Blue,Study Habits,Early Graduation,Education,"Many people think that students study course materials more effectively by taking exams, while others think that students learn more effectively through doing other activities such as writing paper or completing projects. Which do you think is more effective for students to learn? "
126,Blue,-,127,Black,Community Education,Local Class Access,Social Issues,You will need to accomplish an assignment to do a presentation. Which will you choose? • Act out a scene from a play (with a partner) •  Explain your review of a novel you recently you read •  Read a selection of poem
127,Blue,-,128,Black,Physical Health,Age-specific Exercise,Health and Well-being,Which of following aspects do you think contributes most to country's success? •  many business opportunities • well-rounded medical care system •  a developed educational system
128,Blue,-,129,Blue,Job Influence,Employment Tactics,"Work, Career, and Professional Development",Some choose to work in a small company or organization with a few workers. Others prefer to work in a large company or organization with thousands of employees. Which do you think is better?
129,Blue,-,130,Blue,Peer Relationships,Age Diversity,Social Issues,"Do you agree or disagree with the following statement? Current celebrities (like musicians, actors/actresses, athletes) set a good example as role model for the young people. "
130,Blue,-,131,Blue,Work Flexibility,Home Office,"Work, Career, and Professional Development",Do you agree or disagree that hiring experienced teachers is a deciding factor for the success of a school?
131,Blue,-,132,Black,Campus Social Life,Student Activities,Education,"Which campus improvement do you suggest your school make: swimming pool, cafeteria or dormitory? Please give specific reasons to support your opinion. "
132,Blue,-,133,Black,Continued Education,Age Inclusivity,Education,Which of the following three would you choose to do in summer vacation? Working as a  librarian  painter in an art center  life guard in the natatorium
133,Blue,-,134,Black,Urban vs Rural Living,Housing Choices,Social Issues,Which of the following technological developments has made the greatest impact on students’ lives? •  electronic books •  online classes •  smartphones
134,Blue,-,135,Black,Child Development,Team Sports,"Recreation, Leisure, and Creative Pursuits","If you are going to choose a roommate, which of the following qualities is the most important to you? •  Cleanness •  Friendliness •  Quietness "
135,Blue,-,136,Blue,Government Investment,Priority Sectors,Environmental Sustainability and Conservation,Which would you prefer: doing exercise every day or only when you are free?
136,Blue,-,137,Blue,Library Relevance,Technological Impact,Technology and Innovation,"Do you agree or disagree that it is important for young people to learn some skills like cooking, sewing and taking care of children? "
137,Blue,-,138,Black,Housing Preferences,Gender-specific Dorms,Social Issues,Which of the following choice do you think has the greatest impact on environmental protection? •  Governmental regulations •  Environmental awareness groups •  Individual efforts
138,Blue,-,139,Blue,Creative Involvement,Artistic Activities,"Recreation, Leisure, and Creative Pursuits",Do you agree or disagree with the following statement? Schools need to encourage students to be more creative and use imagination to be successful person.
139,Blue,-,140,Blue,Final Projects,Academic Presentations,Education,Do you agree or disagree with the following statement? It is more important to maintain relationship with family members than with friends.
140,Blue,-,141,Blue,Retirement Age,Workforce Policies,Health and Well-being,Some people get to know a person by the first observation while others prefer to get to know a person by long time observation. Which one do you prefer? Explain why.
141,Blue,-,142,Blue,Cultural Etiquette,International Visitors,Social Issues,Do you agree or disagree the following statement? Older doctors are more knowledgeable than young doctors? Use specific details and examples to explain why.
142,Blue,-,143,Blue,Spending Preferences,Material vs. Experiential,Financial Management and Economics,"Do you agree or disagree with the following statement? For being successful in business, being outgoing and friendly is very important. "
143,Blue,-,144,Blue,News Interests,Preferred Topics,"Media, Communication, and Information",Do you agree or disagree with the following statement? Students learn more when teachers assign a lot of homework. Use specific details and examples to explain why.
144,Blue,-,145,Blue,Study Preferences,Time of Day,Education,Do you agree or disagree with the following statement? A boss or a manager should not form close friendship with their employees.
145,Blue,-,146,Blue,Class Interaction,Speaking vs. Listening,Education,Do you agree or disagree? Government should not allow violence and bad language in television programs.
146,Blue,-,147,Blue,Historical Research,Community Engagement,Social Issues,Which type of professor do you prefer: an interesting professor with a strict grading policy or a boring professor with a loose grading policy?
147,Blue,-,148,Blue,Reading Formats,Digital vs. Physical,Education,Do you agree or disagree with the following statement? It is easier to be an adult than it is to be a child.
148,Blue,-,149,Black,Higher Education,Curriculum Development,Technology and Innovation,Your university will sponsor one of the following activities for students:  an outdoor camp night  a music festival to experience the local culture  a computer game contest in the dorm Which do you think is the best and why?
149,Blue,-,150,Black,Friendship Dynamics,Disagreements,Lifestyle,What kind of activity do you think that children do to cultivate a sense of responsibility? •  keeping a pet •  doing house chores •  helping take care of their younger sisters or brothers Use specific details and examples in your response.
150,Blue,-,151,Blue,Social Activities,Group Preferences,Social Issues,Some people prefer to solve a challenge all by themselves. Others prefer to depend on other people’s help. Which do you prefer and why? Include details and examples in your explanation.
151,Blue,-,152,Blue,Child Behavior,Negative Traits,Education,"When students have questions about an assignment for class, some prefer to ask their professors for help, while others would rather ask fellow students. Which do you prefer? "
152,Blue,-,153,Blue,Educational Interests,Subject Choices,Education,"Some people prefer to have their schedules fully and specifically arranged. Some people, however, prefer to leave themselves a lot of free time. Which do you prefer and why? "
153,Blue,-,154,Blue,Childhood Independence,Travel Experience,Education,Do you agree or disagree with the following statement?Students should do some part-time jobs before they attend college. Please use specific reasons and examples to support your answer.
154,Blue,-,155,Blue,Part-time Work,Student Decisions,Education,It is important for people to learn about local history. Do you agree or disagree?
